benchmark_dir,name,length,PEG2PEGTIME,PBTIME,ENGINETIME,Optimization took,nodes:,values:
java/polybench/linear-algebra/kernels/,"Bicg: void initArray(int,int,double[][],double[],double[])",59,329532,328685,774,329606,1643,1488
java/polybench/linear-algebra/kernels/,"Bicg: void printArray(int,int,double[],double[])",60,7846,7282,485,7999,791,830
java/polybench/linear-algebra/kernels/,"Bicg: void kernelBiCG(int,int,double[][],double[],double[],double[],double[])",53,1151,521,559,1276,295,1521
java/polybench/linear-algebra/kernels/,"Bicg: void main(java.lang.String[])",59,293,197,24,357,81,81
java/polybench/linear-algebra/solvers/,"Trisolv: void <init>()",4,220,149,5,270,10,10
java/polybench/linear-algebra/solvers/,"Trisolv: void initArray(int,double[][],double[],double[])",43,FAILURE,FAILURE,FAILURE,FAILURE,FAILURE,FAILURE
java/polybench/linear-algebra/solvers/,"Trisolv: void printArray(int,double[])",33,3073,2477,522,3188,768,747
java/polybench/linear-algebra/solvers/,"Trisolv: void kernelTriSolv(int,double[][],double[],double[])",49,3709,3091,545,3828,492,1216
java/polybench/linear-algebra/solvers/,"Trisolv: void main(java.lang.String[])",48,285,191,23,379,76,76
java/polybench/linear-algebra/solvers/,"Cholesky: void <init>()",4,223,152,4,296,10,10
java/polybench/linear-algebra/solvers/,"Cholesky: void initArray(int,double[][])",120,17844,17219,541,18039,718,1585
java/polybench/linear-algebra/solvers/,"Cholesky: void printArray(int,double[][])",46,1731,1074,584,1865,747,1106
java/polybench/linear-algebra/solvers/,"Cholesky: void kernelCholesky(int,double[][])",92,1443,855,509,1605,373,1690
java/polybench/linear-algebra/solvers/,"Cholesky: void main(java.lang.String[])",35,282,192,19,371,65,65
java/polybench/linear-algebra/solvers/,"Lu: void <init>()",4,229,154,4,302,10,10
java/polybench/linear-algebra/solvers/,"Lu: void initArray(int,double[][])",125,17566,16940,543,17758,804,1505
java/polybench/linear-algebra/solvers/,"Lu: void printArray(int,double[][])",44,1423,744,607,1558,663,1128
java/polybench/linear-algebra/solvers/,"Lu: void kernelLU(int,double[][])",88,1177,578,523,1345,411,1741
java/polybench/linear-algebra/solvers/,"Lu: void main(java.lang.String[])",38,277,188,20,362,69,69
java/polybench/linear-algebra/solvers/,"Ludcmp: void <init>()",4,223,154,4,298,10,10
java/polybench/linear-algebra/solvers/,"Ludcmp: void initArray(int,double[][],double[],double[],double[])",144,69524,68911,528,69726,790,1488
java/polybench/linear-algebra/solvers/,"Ludcmp: void printArray(int,double[])",33,1671,1071,529,1785,770,749
java/polybench/linear-algebra/solvers/,"Ludcmp: void kernelLudcmp(int,double[][],double[],double[],double[])",172,71992,71385,518,72227,740,1794
java/polybench/linear-algebra/solvers/,"Ludcmp: void main(java.lang.String[])",53,292,198,24,387,79,79
java/polybench/linear-algebra/solvers/,"GramSchmidt: void <init>()",4,223,153,5,297,10,10
java/polybench/linear-algebra/solvers/,"GramSchmidt: void initArray(int,int,double[][],double[][],double[][])",52,2932,2159,698,3011,924,1457
java/polybench/linear-algebra/solvers/,"GramSchmidt: void printArray(int,int,double[][],double[][])",86,3463,2788,590,3653,769,1158
java/polybench/linear-algebra/solvers/,"GramSchmidt: void kernelGramSchmidt(int,int,double[][],double[][],double[][])",129,1614,1010,521,1818,467,1915
java/polybench/linear-algebra/solvers/,"GramSchmidt: void main(java.lang.String[])",56,292,199,23,386,78,78
java/polybench/linear-algebra/solvers/,"Durbin: void <init>()",4,224,154,4,297,10,10
java/polybench/linear-algebra/solvers/,"Durbin: void initArray(int,double[])",18,2572,1891,609,2662,1339,853
java/polybench/linear-algebra/solvers/,"Durbin: void printArray(int,double[])",33,3876,3271,530,3990,770,747
java/polybench/linear-algebra/solvers/,"Durbin: void kernelDurbin(int,double[],double[])",99,11969,11259,633,12134,1093,1436
java/polybench/linear-algebra/solvers/,"Durbin: void main(java.lang.String[])",38,281,191,21,366,69,69
java/polybench/medley/,"FloydWarshall: void <init>()",4,224,153,4,305,10,10
java/polybench/medley/,"FloydWarshall: void initArray(int,int[][])",52,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
java/polybench/medley/,"FloydWarshall: void printArray(int,int[][])",45,1424,744,602,1563,662,1121
java/polybench/medley/,"FloydWarshall: void kernelFloydWarshall(int,int[][])",45,1301,654,575,1426,374,1462
java/polybench/medley/,"FloydWarshall: void main(java.lang.String[])",35,273,184,20,356,65,65
java/polybench/medley/,"Nussinov: void <init>()",4,220,150,4,269,10,10
java/polybench/medley/,"Nussinov: void initArray(int,byte[],int[][])",30,4296,3638,587,4396,1489,1108
java/polybench/medley/,"Nussinov: void printArray(int,int[][])",44,1265,638,550,1401,389,1108
java/polybench/medley/,"Nussinov: int match(byte,byte)",10,232,156,10,315,13,12
java/polybench/medley/,"Nussinov: int maxScore(int,int)",5,236,165,4,309,11,11
java/polybench/medley/,"Nussinov: void kernelNussinov(int,byte[],int[][])",160,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
java/polybench/medley/,"Nussinov: void main(java.lang.String[])",40,288,193,22,380,70,70
java/polybench/medley/,"Deriche: void <init>()",4,225,154,4,297,10,10
java/polybench/medley/,"Deriche: void initArray(int,int,double[][])",33,10787,10060,655,10894,946,1166
java/polybench/medley/,"Deriche: void printArray(int,int,double[][])",44,1405,740,592,1540,678,1119
java/polybench/medley/,"Deriche: void kernelDeriche(int,int,double,double[][],double[][],double[][],double[][])",380,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
java/polybench/medley/,"Deriche: void main(java.lang.String[])",61,305,200,25,399,82,82
java/polybench/stencils/,"Seidel2D: void <init>()",4,222,153,5,296,10,10
java/polybench/stencils/,"Seidel2D: void initArray(int,double[][])",33,3699,2984,643,3802,954,1164
java/polybench/stencils/,"Seidel2D: void printArray(int,double[][])",44,1428,752,600,1564,686,1116
java/polybench/stencils/,"Seidel2D: void kernelSeidel2D(int,int,double[][])",113,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
java/polybench/stencils/,"Seidel2D: void main(java.lang.String[])",38,275,186,19,358,67,67
java/polybench/stencils/,"Heat3d: void <init>()",4,223,152,5,278,10,10
java/polybench/stencils/,"Heat3d: void initArray(int,double[][][],double[][][])",51,5626,4900,650,5758,748,1548
java/polybench/stencils/,"Heat3d: void printArray(int,double[][][])",59,2067,1318,674,2233,1170,1117
java/polybench/stencils/,"Heat3d: void kernelHeat3d(int,int,double[][][],double[][][])",283,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
java/polybench/stencils/,"Heat3d: void main(java.lang.String[])",46,288,192,21,373,71,71
java/polybench/stencils/,"Jacobi1D: void <init>()",4,221,152,4,294,10,10
java/polybench/stencils/,"Jacobi1D: void initArray(int,double[],double[])",29,22525,21834,618,22614,1179,784
java/polybench/stencils/,"Jacobi1D: void printArray(int,double[])",34,1981,1378,527,2093,791,770
java/polybench/stencils/,"Jacobi1D: void kernelJacobi1D(int,int,double[],double[])",67,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
java/polybench/stencils/,"Jacobi1D: void main(java.lang.String[])",42,277,187,21,362,70,70
